,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
540,RIVERSIDE LOUNGE,Employee Records Not Available When Requested,07/24/2018,500.0,setttled,0,0,11272 GEORGIA AVENUE,WHEATON,MD,20902
541,LOTUS CAFE,Employee Records Not Available When Requested,02/14/2018,500.0,setttled,0,1,8077 GEORGIA AVE,SILVER SPRING,MD,20910
542,GAITHERSBURG SUPERMARKET,Employee Records Not Available When Requested,07/28/2016,500.0,setttled,0,1,220 EAST DIAMOND AVENUE,GAITHERSBURG,MD,20877
543,TACO BAR,Employee Records Not Available When Requested,09/05/2017,500.0,setttled,0,1,3 RUSSELL AVE A,GAITHERSBURG,MD,20877
544,GREAT SHOALS,Sale To Minor,09/18/2018,1000.0,setttled,0,1,7050 CARROLL AVE. #101,TAKOMA PARK,MD,20912
545,OWENS ORDINARY,Storage,09/14/2018,1000.0,setttled,0,1,11820 TRADE STREET,NORTH BETHESDA,MD,20852
546,DAVE & BUSTER'S,Sale To Minor,04/06/2018,1000.0,setttled,0,1,8661 COLESVILLE RD,SILVER SPRING,MD,20910
547,EL SOL SALVADOREAN & MEXICAN RESTAURANT,Alcohol Awareness Certified Person Not On Premises,09/07/2018,500.0,setttled,0,1,13881 OUTLET DRIVE C,SILVER SPRING,MD,20904
548,EVEN HOTEL,Sale To Minor,11/20/2018,1000.0,setttled,0,1,1775 ROCKVILLE PIKE,ROCKVILLE,MD,20852
549,GREEN GROWLER'S,Alcohol Awareness Certified Person Not On Premises,04/25/2018,100.0,setttled,0,1,227 E. DIAMOND AVE,GAITHERSBURG,MD,20878
550,RUBY TUESDAY,Sale To Minor,01/19/2017,8000.0,hearing,0,0,19800 CENTURY BLVD.,GERMANTOWN,MD,20874
551,IL PIZZICO,Sale To Minor,09/19/2017,1000.0,setttled,0,1,15209 FREDERICK ROAD,ROCKVILLE,MD,20850
552,FIRE STATION 1,Sale To Minor,05/06/2018,1000.0,none,0,1,8131 GEORGIA AVENUE,SILVER SPRING,MD,20910
